Name,TIC,Sp.type,log10(Teff),log10(ℒ/ℒ⊙),v sin i,vmacro
HD96715,306491594,O4V((f))z,4.66,4.10,59,86
HD46223,234881667,O4V((f)),4.62,4.16,60,91
HD155913,216662610,O4.5Vn((f)),4.63,3.88,278,−
HD46150,234840662,O5V((f)),4.61,4.03,71,94
HD90273,464295672,ON7V,4.59,3.95,55,55
HD110360,433738620,ON7V,4.59,3.60,96,86
HD47839,220322383,O7V,4.58,3.70,43,65
HD53975,148506724,O7.5Vz,4.56,3.74,181,−
HD41997,294114621,O7.5Vn((f)),4.55,3.85,262,−
HD46573,234947719,O7V((f))z,4.56,3.93,77,81
HD48279,234009943,O8V,4.55,3.76,131,74
HD46056,234834992,O8Vn,4.55,3.58,370,−
HD38666,100589904,O9.5V,4.53,3.59,111,56
HD74920,430625455,O7.5IVn((f)),4.54,3.90,291,−
HD135591,455675248,O8IV((f)),4.54,3.99,60,60
HD326331,339568114,O8IVn((f)),4.54,3.82,332,−
HD37041,427395049,O9.5IVp,4.54,3.28,134,−
HD123056,330281456,O9.5IV(n),4.50,3.70,193,−
HD97253,467065657,O5III(f),4.59,4.16,70,105
HD93843,465012898,O5III(fc),4.57,4.15,58,120
HD156738,195288472,O6.5III(f),4.58,3.87,65,103
HD36861,436103278,O8III((f)),4.55,4.06,53,75
HD150574,234648113,ON9III(n),4.52,3.87,252,−
HD152247,339570292,O9.2III,4.51,3.94,82,96
HD55879,178489528,O9.7III,4.49,3.85,26,60
HD154643,43284243,O9.7III,4.49,3.85,101,78
CPD-472963,30653985,O5Ifc,4.57,4.16,67,110
HD156154,152659955,O7.5Ib(f),4.53,4.22,62,102
HD112244,406050497,O8.5Iab(f)p,4.50,4.15,124,80
HD151804,337793038,O8Iaf,4.45,4.33,72,73
HD303492,459532732,O8.5Iaf,4.45,4.29,87,55
HD57061,106347931,O9II,4.51,4.01,57,93
HD152249,339567904,OC9Iab,4.49,4.15,71,70
HD152424,247267245,OC9.2Ia,4.48,4.14,59,66
HD154368,41792209,O9.5Iab,4.48,4.28,65,78
HD152003,338640317,O9.7IabNwk,4.48,4.12,65,83
HD152147,246953610,O9.7IbNwk,4.48,4.04,91,64
HD36960,427373484,B0.5V,4.46,3.31,23,37
HD37042,427395058,B0.7V,4.47,3.06,33,13
HD43112,434384707,B1V,4.41,2.95,7,12
HD35912,464839773,B2V,4.26,2.44,11,21
HD48977,202148345,B2.5V,4.25,2.61,26,8
HD34816,442871031,B0.5IV,4.46,3.22,25,−
HD46328,47763235,B0.5IV,4.40,3.28,7,20
HD50707,78897024,B1IV,4.38,3.31,29,46
HD37481,332913301,B1.5IV,4.34,2.78,74,21
HD37209,388935529,B2IV,4.38,2.76,50,15
HD26912,283793973,B3IV,4.20,2.61,53,30
HD37711,59215060,B3IV,4.21,2.61,68,51
HD57539,10176636,B3IV,4.13,2.54,162,13
HD41753,151464886,B3IV,4.23,2.61,25,40
HD224990,313934087,B5IV,4.13,2.33,20,40
HD48434,234052684,B0III,4.48,3.93,48,82
HD61068,349043273,B2III,4.39,3.08,12,23
HD35468,365572007,B2III,4.29,2.99,53,27
HD44743,34590771,B1II-III,4.37,3.20,24,40
HD54764,95513457,B1II,4.30,3.97,123,87
HD52089,63198307,B2II,4.34,3.60,26,50
HD51309,146908355,B3II,4.20,3.64,27,43
HD46769,281148636,B5II,4.11,3.16,70,23
HD27563,37777866,B7II,4.16,2.61,34,26
HD53244,148109427,B8II,4.14,2.74,36,21
HD37128,427451176,B0Ia,4.47,4.05,55,85
HD38771,66651575,B0.5Ia,4.47,4.06,53,83
HD53138,80466973,B3Iab,4.23,4.13,37,56
HD39985,102281507,B9Ib,4.11,2.34,26,28
HD37061,427393920,O9.5V,4.49,3.07,210,−
HD37742,11360636,O9.2IbvarNwk,4.47,4.15,122,97
HD57682,187458882,O9.2IV,4.54,3.62,12,38
HD54879,177860391,O9.7V,4.52,3.16,7,10
